,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
32,15,45,l1,15,False,1,1,0.513317191283293
128,5,240,l1,80,False,1,4,0.510895883777239
83,10,120,l2,40,False,5,2,0.510895883777239
42,15,45,l1,15,True,5,1,0.510895883777239
47,15,45,l2,15,True,25,1,0.510895883777239
62,20,60,l1,20,True,25,1,0.510895883777239
54,20,60,l1,20,False,25,1,0.510895883777239
35,15,45,l2,15,False,5,1,0.5084745762711861
77,5,60,l2,20,True,15,2,0.506053268765133
88,10,120,l1,40,True,1,2,0.506053268765133
85,10,120,l2,40,False,15,2,0.506053268765133
34,15,45,l1,15,False,5,1,0.506053268765133
44,15,45,l1,15,True,15,1,0.506053268765133
45,15,45,l2,15,True,15,1,0.506053268765133
134,5,240,l1,80,False,25,4,0.503631961259079
132,5,240,l1,80,False,15,4,0.503631961259079
143,5,240,l2,80,True,25,4,0.503631961259079
129,5,240,l2,80,False,1,4,0.503631961259079
111,15,180,l2,60,True,25,2,0.503631961259079
81,10,120,l2,40,False,1,2,0.5012106537530261
29,10,30,l2,10,True,15,1,0.5012106537530261
41,15,45,l2,15,True,1,1,0.5012106537530261
133,5,240,l2,80,False,15,4,0.5012106537530261
119,20,240,l2,80,False,25,2,0.5012106537530261
46,15,45,l1,15,True,25,1,0.5012106537530261
43,15,45,l2,15,True,5,1,0.5012106537530261
56,20,60,l1,20,True,1,1,0.5012106537530261
57,20,60,l2,20,True,1,1,0.498789346246973
55,20,60,l2,20,False,25,1,0.498789346246973
78,5,60,l1,20,True,25,2,0.49636803874092006
27,10,30,l2,10,True,5,1,0.49636803874092006
93,10,120,l2,40,True,15,2,0.49636803874092006
142,5,240,l1,80,True,25,4,0.49636803874092006
74,5,60,l1,20,True,5,2,0.49636803874092006
131,5,240,l2,80,False,5,4,0.49636803874092006
89,10,120,l2,40,True,1,2,0.49394673123486604
75,5,60,l2,20,True,5,2,0.49394673123486604
28,10,30,l1,10,True,15,1,0.49394673123486604
26,10,30,l1,10,True,5,1,0.491525423728813
25,10,30,l2,10,True,1,1,0.48910411622276
49,20,60,l2,20,False,1,1,0.48910411622276
130,5,240,l1,80,False,5,4,0.48910411622276
76,5,60,l1,20,True,15,2,0.48668280871670705
63,20,60,l2,20,True,25,1,0.48426150121065303
24,10,30,l1,10,True,1,1,0.4818401937046
135,5,240,l2,80,False,25,4,0.47941888619854706
30,10,30,l1,10,True,25,1,0.47941888619854706
70,5,60,l1,20,False,25,2,0.47699757869249304
95,10,120,l2,40,True,25,2,0.47699757869249304
33,15,45,l2,15,False,1,1,0.46973365617433405
31,10,30,l2,10,True,25,1,0.46731234866828003
68,5,60,l1,20,False,15,2,0.464891041162227
22,10,30,l1,10,False,25,1,0.46004842615012104
18,10,30,l1,10,False,5,1,0.46004842615012104
65,5,60,l2,20,False,1,2,0.457627118644067
72,5,60,l1,20,True,1,2,0.457627118644067
20,10,30,l1,10,False,15,1,0.45278450363196104
73,5,60,l2,20,True,1,2,0.45278450363196104
16,10,30,l1,10,False,1,1,0.45036319612590703
69,5,60,l2,20,False,15,2,0.45036319612590703
64,5,60,l1,20,False,1,2,0.447941888619854
21,10,30,l2,10,False,15,1,0.447941888619854
19,10,30,l2,10,False,5,1,0.44552058111380105
67,5,60,l2,20,False,5,2,0.44552058111380105
23,10,30,l2,10,False,25,1,0.440677966101694
13,5,15,l2,5,True,15,1,0.43825665859564106
71,5,60,l2,20,False,25,2,0.43825665859564106
17,10,30,l2,10,False,1,1,0.430992736077481
12,5,15,l1,5,True,15,1,0.430992736077481
15,5,15,l2,5,True,25,1,0.42857142857142805
66,5,60,l1,20,False,5,2,0.42615012106537503
4,5,15,l1,5,False,15,1,0.41888619854721504
11,5,15,l2,5,True,5,1,0.40920096852300203
14,5,15,l1,5,True,25,1,0.406779661016949
10,5,15,l1,5,True,5,1,0.40193704600484204
6,5,15,l1,5,False,25,1,0.39467312348668204
7,5,15,l2,5,False,25,1,0.392251815980629
5,5,15,l2,5,False,15,1,0.37772397094430904
8,5,15,l1,5,True,1,1,0.36803874092009603
3,5,15,l2,5,False,5,1,0.36803874092009603
2,5,15,l1,5,False,5,1,0.36077481840193704
1,5,15,l2,5,False,1,1,0.358353510895883
9,5,15,l2,5,True,1,1,0.351089588377723
0,5,15,l1,5,False,1,1,0.34866828087167
