,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
99,15,180,l2,60,False,5,2,0.6821515892420531
289,15,180,l2,60,False,1,2,0.6821515892420531
140,5,240,l1,80,True,15,4,0.6821515892420531
131,5,240,l2,80,False,5,4,0.6821515892420531
321,5,240,l2,80,False,1,4,0.679706601466992
383,20,960,l2,320,True,25,4,0.679706601466992
72,5,60,l1,20,True,1,2,0.679706601466992
123,20,240,l2,80,True,5,2,0.677261613691931
364,15,720,l1,240,True,15,4,0.6748166259168701
349,10,480,l2,160,True,15,4,0.6748166259168701
183,20,960,l2,320,False,25,4,0.672371638141809
297,15,180,l2,60,True,1,2,0.672371638141809
110,15,180,l1,60,True,25,2,0.672371638141809
191,20,960,l2,320,True,25,4,0.672371638141809
73,5,60,l2,20,True,1,2,0.672371638141809
56,20,60,l1,20,True,1,1,0.669926650366748
308,20,240,l1,80,False,15,2,0.669926650366748
375,20,960,l2,320,False,25,4,0.669926650366748
166,15,720,l1,240,False,25,4,0.669926650366748
290,15,180,l1,60,False,5,2,0.669926650366748
340,10,480,l1,160,False,15,4,0.669926650366748
341,10,480,l2,160,False,15,4,0.669926650366748
32,15,45,l1,15,False,1,1,0.6674816625916871
48,20,60,l1,20,False,1,1,0.6674816625916871
109,15,180,l2,60,True,15,2,0.6674816625916871
350,10,480,l1,160,True,25,4,0.6650366748166251
119,20,240,l2,80,False,25,2,0.6650366748166251
272,10,120,l1,40,False,1,2,0.662591687041564
280,10,120,l1,40,True,1,2,0.662591687041564
316,20,240,l1,80,True,15,2,0.662591687041564
366,15,720,l1,240,True,25,4,0.660146699266503
83,10,120,l2,40,False,5,2,0.660146699266503
132,5,240,l1,80,False,15,4,0.660146699266503
300,15,180,l1,60,True,15,2,0.660146699266503
64,5,60,l1,20,False,1,2,0.6577017114914421
65,5,60,l2,20,False,1,2,0.6577017114914421
343,10,480,l2,160,False,25,4,0.6577017114914421
342,10,480,l1,160,False,25,4,0.6577017114914421
365,15,720,l2,240,True,15,4,0.6577017114914421
141,5,240,l2,80,True,15,4,0.6577017114914421
292,15,180,l1,60,False,15,2,0.655256723716381
359,15,720,l2,240,False,25,4,0.655256723716381
315,20,240,l2,80,True,5,2,0.655256723716381
49,20,60,l2,20,False,1,1,0.655256723716381
91,10,120,l2,40,True,5,2,0.655256723716381
50,20,60,l1,20,False,5,1,0.655256723716381
92,10,120,l1,40,True,15,2,0.655256723716381
84,10,120,l1,40,False,15,2,0.655256723716381
42,15,45,l1,15,True,5,1,0.655256723716381
124,20,240,l1,80,True,15,2,0.65281173594132
111,15,180,l2,60,True,25,2,0.65281173594132
41,15,45,l2,15,True,1,1,0.6503667481662591
367,15,720,l2,240,True,25,4,0.6503667481662591
298,15,180,l1,60,True,5,2,0.6503667481662591
330,5,240,l1,80,True,5,4,0.6503667481662591
102,15,180,l1,60,False,25,2,0.6503667481662591
351,10,480,l2,160,True,25,4,0.6479217603911981
224,15,45,l1,15,False,1,1,0.6479217603911981
133,5,240,l2,80,False,15,4,0.6479217603911981
143,5,240,l2,80,True,25,4,0.6479217603911981
33,15,45,l2,15,False,1,1,0.645476772616136
301,15,180,l2,60,True,15,2,0.645476772616136
93,10,120,l2,40,True,15,2,0.645476772616136
317,20,240,l2,80,True,15,2,0.643031784841075
281,10,120,l2,40,True,1,2,0.6405867970660141
85,10,120,l2,40,False,15,2,0.6381418092909531
322,5,240,l1,80,False,5,4,0.6381418092909531
34,15,45,l1,15,False,5,1,0.6381418092909531
142,5,240,l1,80,True,25,4,0.6381418092909531
264,5,60,l1,20,True,1,2,0.635696821515892
302,15,180,l1,60,True,25,2,0.635696821515892
248,20,60,l1,20,True,1,1,0.635696821515892
125,20,240,l2,80,True,15,2,0.635696821515892
94,10,120,l1,40,True,25,2,0.635696821515892
134,5,240,l1,80,False,25,4,0.635696821515892
307,20,240,l2,80,False,5,2,0.633251833740831
274,10,120,l1,40,False,5,2,0.633251833740831
86,10,120,l1,40,False,25,2,0.633251833740831
256,5,60,l1,20,False,1,2,0.633251833740831
291,15,180,l2,60,False,5,2,0.6308068459657701
52,20,60,l1,20,False,15,1,0.628361858190709
135,5,240,l2,80,False,25,4,0.628361858190709
318,20,240,l1,80,True,25,2,0.628361858190709
249,20,60,l2,20,True,1,1,0.625916870415647
310,20,240,l1,80,False,25,2,0.625916870415647
323,5,240,l2,80,False,5,4,0.625916870415647
265,5,60,l2,20,True,1,2,0.625916870415647
101,15,180,l2,60,False,15,2,0.625916870415647
74,5,60,l1,20,True,5,2,0.625916870415647
232,15,45,l1,15,True,1,1,0.6234718826405861
95,10,120,l2,40,True,25,2,0.6234718826405861
282,10,120,l1,40,True,5,2,0.6234718826405861
57,20,60,l2,20,True,1,1,0.6234718826405861
299,15,180,l2,60,True,5,2,0.6234718826405861
44,15,45,l1,15,True,15,1,0.6210268948655251
309,20,240,l2,80,False,15,2,0.6210268948655251
54,20,60,l1,20,False,25,1,0.618581907090464
252,20,60,l1,20,True,15,1,0.618581907090464
43,15,45,l2,15,True,5,1,0.618581907090464
332,5,240,l1,80,True,15,4,0.618581907090464
225,15,45,l2,15,False,1,1,0.616136919315403
126,20,240,l1,80,True,25,2,0.616136919315403
250,20,60,l1,20,True,5,1,0.616136919315403
276,10,120,l1,40,False,15,2,0.616136919315403
103,15,180,l2,60,False,25,2,0.6136919315403421
273,10,120,l2,40,False,1,2,0.6136919315403421
331,5,240,l2,80,True,5,4,0.611246943765281
294,15,180,l1,60,False,25,2,0.611246943765281
51,20,60,l2,20,False,5,1,0.611246943765281
16,10,30,l1,10,False,1,1,0.60880195599022
35,15,45,l2,15,False,5,1,0.60880195599022
127,20,240,l2,80,True,25,2,0.60880195599022
240,20,60,l1,20,False,1,1,0.60880195599022
66,5,60,l1,20,False,5,2,0.60880195599022
36,15,45,l1,15,False,15,1,0.60880195599022
75,5,60,l2,20,True,5,2,0.606356968215158
324,5,240,l1,80,False,15,4,0.606356968215158
275,10,120,l2,40,False,5,2,0.606356968215158
333,5,240,l2,80,True,15,4,0.6039119804400971
68,5,60,l1,20,False,15,2,0.6039119804400971
284,10,120,l1,40,True,15,2,0.6039119804400971
242,20,60,l1,20,False,5,1,0.601466992665036
58,20,60,l1,20,True,5,1,0.601466992665036
226,15,45,l1,15,False,5,1,0.599022004889975
283,10,120,l2,40,True,5,2,0.599022004889975
278,10,120,l1,40,False,25,2,0.599022004889975
293,15,180,l2,60,False,15,2,0.599022004889975
334,5,240,l1,80,True,25,4,0.5965770171149141
236,15,45,l1,15,True,15,1,0.5965770171149141
251,20,60,l2,20,True,5,1,0.5965770171149141
319,20,240,l2,80,True,25,2,0.5941320293398531
24,10,30,l1,10,True,1,1,0.5941320293398531
233,15,45,l2,15,True,1,1,0.5941320293398531
244,20,60,l1,20,False,15,1,0.5941320293398531
17,10,30,l2,10,False,1,1,0.5941320293398531
67,5,60,l2,20,False,5,2,0.5941320293398531
325,5,240,l2,80,False,15,4,0.591687041564792
311,20,240,l2,80,False,25,2,0.591687041564792
26,10,30,l1,10,True,5,1,0.591687041564792
18,10,30,l1,10,False,5,1,0.591687041564792
286,10,120,l1,40,True,25,2,0.589242053789731
285,10,120,l2,40,True,15,2,0.58679706601467
59,20,60,l2,20,True,5,1,0.58679706601467
303,15,180,l2,60,True,25,2,0.58679706601467
25,10,30,l2,10,True,1,1,0.58679706601467
234,15,45,l1,15,True,5,1,0.58679706601467
29,10,30,l2,10,True,15,1,0.584352078239608
77,5,60,l2,20,True,15,2,0.584352078239608
277,10,120,l2,40,False,15,2,0.584352078239608
87,10,120,l2,40,False,25,2,0.584352078239608
227,15,45,l2,15,False,5,1,0.581907090464547
241,20,60,l2,20,False,1,1,0.581907090464547
76,5,60,l1,20,True,15,2,0.581907090464547
53,20,60,l2,20,False,15,1,0.5794621026894861
208,10,30,l1,10,False,1,1,0.5794621026894861
78,5,60,l1,20,True,25,2,0.5794621026894861
28,10,30,l1,10,True,15,1,0.5770171149144251
209,10,30,l2,10,False,1,1,0.5770171149144251
60,20,60,l1,20,True,15,1,0.5770171149144251
267,5,60,l2,20,True,5,2,0.5770171149144251
228,15,45,l1,15,False,15,1,0.5770171149144251
253,20,60,l2,20,True,15,1,0.5770171149144251
220,10,30,l1,10,True,15,1,0.574572127139364
266,5,60,l1,20,True,5,2,0.574572127139364
238,15,45,l1,15,True,25,1,0.574572127139364
335,5,240,l2,80,True,25,4,0.574572127139364
295,15,180,l2,60,False,25,2,0.574572127139364
19,10,30,l2,10,False,5,1,0.572127139364303
230,15,45,l1,15,False,25,1,0.572127139364303
235,15,45,l2,15,True,5,1,0.572127139364303
216,10,30,l1,10,True,1,1,0.5696821515892421
257,5,60,l2,20,False,1,2,0.56723716381418
217,10,30,l2,10,True,1,1,0.56723716381418
279,10,120,l2,40,False,25,2,0.56723716381418
