,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
99,15,180,l2,60,False,5,2,0.6282973621103111
308,20,240,l1,80,False,15,2,0.625899280575539
109,15,180,l2,60,True,15,2,0.625899280575539
165,15,720,l2,240,False,15,4,0.625899280575539
289,15,180,l2,60,False,1,2,0.625899280575539
116,20,240,l1,80,False,15,2,0.625899280575539
297,15,180,l2,60,True,1,2,0.625899280575539
272,10,120,l1,40,False,1,2,0.6235011990407671
84,10,120,l1,40,False,15,2,0.6235011990407671
65,5,60,l2,20,False,1,2,0.6235011990407671
140,5,240,l1,80,True,15,4,0.6235011990407671
183,20,960,l2,320,False,25,4,0.6235011990407671
240,20,60,l1,20,False,1,1,0.621103117505995
282,10,120,l1,40,True,5,2,0.621103117505995
115,20,240,l2,80,False,5,2,0.621103117505995
358,15,720,l1,240,False,25,4,0.621103117505995
102,15,180,l1,60,False,25,2,0.621103117505995
110,15,180,l1,60,True,25,2,0.6187050359712231
300,15,180,l1,60,True,15,2,0.6187050359712231
307,20,240,l2,80,False,5,2,0.6187050359712231
57,20,60,l2,20,True,1,1,0.6187050359712231
108,15,180,l1,60,True,15,2,0.6187050359712231
372,20,960,l1,320,False,15,4,0.6187050359712231
374,20,960,l1,320,False,25,4,0.61630695443645
323,5,240,l2,80,False,5,4,0.61630695443645
73,5,60,l2,20,True,1,2,0.61630695443645
349,10,480,l2,160,True,15,4,0.61630695443645
357,15,720,l2,240,False,15,4,0.61630695443645
224,15,45,l1,15,False,1,1,0.6139088729016781
94,10,120,l1,40,True,25,2,0.6139088729016781
302,15,180,l1,60,True,25,2,0.6139088729016781
101,15,180,l2,60,False,15,2,0.6139088729016781
141,5,240,l2,80,True,15,4,0.6139088729016781
74,5,60,l1,20,True,5,2,0.611510791366906
341,10,480,l2,160,False,15,4,0.611510791366906
342,10,480,l1,160,False,25,4,0.611510791366906
77,5,60,l2,20,True,15,2,0.611510791366906
314,20,240,l1,80,True,5,2,0.611510791366906
280,10,120,l1,40,True,1,2,0.611510791366906
126,20,240,l1,80,True,25,2,0.611510791366906
294,15,180,l1,60,False,25,2,0.6091127098321341
175,15,720,l2,240,True,25,4,0.6091127098321341
371,20,960,l2,320,False,5,4,0.6091127098321341
75,5,60,l2,20,True,5,2,0.6091127098321341
132,5,240,l1,80,False,15,4,0.6091127098321341
76,5,60,l1,20,True,15,2,0.6091127098321341
273,10,120,l2,40,False,1,2,0.606714628297362
142,5,240,l1,80,True,25,4,0.606714628297362
309,20,240,l2,80,False,15,2,0.606714628297362
355,15,720,l2,240,False,5,4,0.60431654676259
350,10,480,l1,160,True,25,4,0.60431654676259
125,20,240,l2,80,True,15,2,0.60431654676259
322,5,240,l1,80,False,5,4,0.60431654676259
173,15,720,l2,240,True,15,4,0.601918465227817
264,5,60,l1,20,True,1,2,0.601918465227817
85,10,120,l2,40,False,15,2,0.601918465227817
67,5,60,l2,20,False,5,2,0.601918465227817
95,10,120,l2,40,True,25,2,0.601918465227817
324,5,240,l1,80,False,15,4,0.601918465227817
310,20,240,l1,80,False,25,2,0.601918465227817
332,5,240,l1,80,True,15,4,0.5995203836930451
66,5,60,l1,20,False,5,2,0.5995203836930451
365,15,720,l2,240,True,15,4,0.5995203836930451
40,15,45,l1,15,True,1,1,0.5995203836930451
299,15,180,l2,60,True,5,2,0.597122302158273
359,15,720,l2,240,False,25,4,0.597122302158273
71,5,60,l2,20,False,25,2,0.597122302158273
381,20,960,l2,320,True,15,4,0.597122302158273
274,10,120,l1,40,False,5,2,0.597122302158273
151,10,480,l2,160,False,25,4,0.597122302158273
131,5,240,l2,80,False,5,4,0.594724220623501
265,5,60,l2,20,True,1,2,0.594724220623501
87,10,120,l2,40,False,25,2,0.592326139088729
301,15,180,l2,60,True,15,2,0.592326139088729
118,20,240,l1,80,False,25,2,0.592326139088729
111,15,180,l2,60,True,25,2,0.592326139088729
133,5,240,l2,80,False,15,4,0.592326139088729
373,20,960,l2,320,False,15,4,0.592326139088729
33,15,45,l2,15,False,1,1,0.589928057553956
36,15,45,l1,15,False,15,1,0.589928057553956
367,15,720,l2,240,True,25,4,0.589928057553956
143,5,240,l2,80,True,25,4,0.589928057553956
283,10,120,l2,40,True,5,2,0.589928057553956
366,15,720,l1,240,True,25,4,0.589928057553956
351,10,480,l2,160,True,25,4,0.587529976019184
69,5,60,l2,20,False,15,2,0.585131894484412
58,20,60,l1,20,True,5,1,0.585131894484412
68,5,60,l1,20,False,15,2,0.585131894484412
281,10,120,l2,40,True,1,2,0.585131894484412
276,10,120,l1,40,False,15,2,0.585131894484412
284,10,120,l1,40,True,15,2,0.58273381294964
259,5,60,l2,20,False,5,2,0.58273381294964
48,20,60,l1,20,False,1,1,0.58273381294964
343,10,480,l2,160,False,25,4,0.58273381294964
167,15,720,l2,240,False,25,4,0.58273381294964
383,20,960,l2,320,True,25,4,0.580335731414868
41,15,45,l2,15,True,1,1,0.580335731414868
103,15,180,l2,60,False,25,2,0.580335731414868
78,5,60,l1,20,True,25,2,0.577937649880095
242,20,60,l1,20,False,5,1,0.577937649880095
79,5,60,l2,20,True,25,2,0.577937649880095
375,20,960,l2,320,False,25,4,0.577937649880095
258,5,60,l1,20,False,5,2,0.577937649880095
250,20,60,l1,20,True,5,1,0.577937649880095
315,20,240,l2,80,True,5,2,0.575539568345323
333,5,240,l2,80,True,15,4,0.575539568345323
