,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
292,15,180,l1,60,False,15,2,0.544794188861985
36,15,45,l1,15,False,15,1,0.544794188861985
337,10,480,l2,160,False,1,4,0.544794188861985
113,20,240,l2,80,False,1,2,0.544794188861985
84,10,120,l1,40,False,15,2,0.544794188861985
290,15,180,l1,60,False,5,2,0.5423728813559321
52,20,60,l1,20,False,15,1,0.5423728813559321
175,15,720,l2,240,True,25,4,0.5423728813559321
293,15,180,l2,60,False,15,2,0.5423728813559321
121,20,240,l2,80,True,1,2,0.539951573849878
110,15,180,l1,60,True,25,2,0.539951573849878
334,5,240,l1,80,True,25,4,0.539951573849878
90,10,120,l1,40,True,5,2,0.539951573849878
358,15,720,l1,240,False,25,4,0.539951573849878
117,20,240,l2,80,False,15,2,0.539951573849878
104,15,180,l1,60,True,1,2,0.539951573849878
151,10,480,l2,160,False,25,4,0.5375302663438251
313,20,240,l2,80,True,1,2,0.5375302663438251
312,20,240,l1,80,True,1,2,0.5375302663438251
356,15,720,l1,240,False,15,4,0.5375302663438251
347,10,480,l2,160,True,5,4,0.5375302663438251
125,20,240,l2,80,True,15,2,0.5375302663438251
50,20,60,l1,20,False,5,1,0.5375302663438251
159,10,480,l2,160,True,25,4,0.535108958837772
331,5,240,l2,80,True,5,4,0.535108958837772
60,20,60,l1,20,True,15,1,0.535108958837772
58,20,60,l1,20,True,5,1,0.535108958837772
330,5,240,l1,80,True,5,4,0.532687651331719
359,15,720,l2,240,False,25,4,0.532687651331719
289,15,180,l2,60,False,1,2,0.532687651331719
140,5,240,l1,80,True,15,4,0.532687651331719
299,15,180,l2,60,True,5,2,0.532687651331719
105,15,180,l2,60,True,1,2,0.5302663438256651
107,15,180,l2,60,True,5,2,0.5302663438256651
173,15,720,l2,240,True,15,4,0.5302663438256651
137,5,240,l2,80,True,1,4,0.5302663438256651
343,10,480,l2,160,False,25,4,0.5302663438256651
40,15,45,l1,15,True,1,1,0.5302663438256651
298,15,180,l1,60,True,5,2,0.5302663438256651
127,20,240,l2,80,True,25,2,0.5302663438256651
80,10,120,l1,40,False,1,2,0.527845036319612
59,20,60,l2,20,True,5,1,0.527845036319612
300,15,180,l1,60,True,15,2,0.527845036319612
302,15,180,l1,60,True,25,2,0.525423728813559
48,20,60,l1,20,False,1,1,0.525423728813559
61,20,60,l2,20,True,15,1,0.525423728813559
349,10,480,l2,160,True,15,4,0.525423728813559
53,20,60,l2,20,False,15,1,0.525423728813559
109,15,180,l2,60,True,15,2,0.525423728813559
91,10,120,l2,40,True,5,2,0.5230024213075061
51,20,60,l2,20,False,5,1,0.5230024213075061
332,5,240,l1,80,True,15,4,0.5230024213075061
94,10,120,l1,40,True,25,2,0.5230024213075061
242,20,60,l1,20,False,5,1,0.5230024213075061
282,10,120,l1,40,True,5,2,0.520581113801452
79,5,60,l2,20,True,25,2,0.520581113801452
345,10,480,l2,160,True,1,4,0.520581113801452
82,10,120,l1,40,False,5,2,0.520581113801452
39,15,45,l2,15,False,25,1,0.518159806295399
295,15,180,l2,60,False,25,2,0.518159806295399
335,5,240,l2,80,True,25,4,0.518159806295399
141,5,240,l2,80,True,15,4,0.5157384987893461
92,10,120,l1,40,True,15,2,0.5157384987893461
87,10,120,l2,40,False,25,2,0.5157384987893461
357,15,720,l2,240,False,15,4,0.513317191283293
296,15,180,l1,60,True,1,2,0.513317191283293
328,5,240,l1,80,True,1,4,0.513317191283293
291,15,180,l2,60,False,5,2,0.513317191283293
32,15,45,l1,15,False,1,1,0.513317191283293
270,5,60,l1,20,True,25,2,0.513317191283293
47,15,45,l2,15,True,25,1,0.510895883777239
54,20,60,l1,20,False,25,1,0.510895883777239
62,20,60,l1,20,True,25,1,0.510895883777239
42,15,45,l1,15,True,5,1,0.510895883777239
243,20,60,l2,20,False,5,1,0.510895883777239
128,5,240,l1,80,False,1,4,0.510895883777239
83,10,120,l2,40,False,5,2,0.510895883777239
303,15,180,l2,60,True,25,2,0.510895883777239
35,15,45,l2,15,False,5,1,0.5084745762711861
244,20,60,l1,20,False,15,1,0.5084745762711861
240,20,60,l1,20,False,1,1,0.5084745762711861
34,15,45,l1,15,False,5,1,0.506053268765133
77,5,60,l2,20,True,15,2,0.506053268765133
287,10,120,l2,40,True,25,2,0.506053268765133
278,10,120,l1,40,False,25,2,0.506053268765133
85,10,120,l2,40,False,15,2,0.506053268765133
44,15,45,l1,15,True,15,1,0.506053268765133
45,15,45,l2,15,True,15,1,0.506053268765133
274,10,120,l1,40,False,5,2,0.506053268765133
88,10,120,l1,40,True,1,2,0.506053268765133
286,10,120,l1,40,True,25,2,0.503631961259079
143,5,240,l2,80,True,25,4,0.503631961259079
333,5,240,l2,80,True,15,4,0.503631961259079
134,5,240,l1,80,False,25,4,0.503631961259079
132,5,240,l1,80,False,15,4,0.503631961259079
129,5,240,l2,80,False,1,4,0.503631961259079
111,15,180,l2,60,True,25,2,0.503631961259079
56,20,60,l1,20,True,1,1,0.5012106537530261
81,10,120,l2,40,False,1,2,0.5012106537530261
119,20,240,l2,80,False,25,2,0.5012106537530261
133,5,240,l2,80,False,15,4,0.5012106537530261
29,10,30,l2,10,True,15,1,0.5012106537530261
46,15,45,l1,15,True,25,1,0.5012106537530261
43,15,45,l2,15,True,5,1,0.5012106537530261
41,15,45,l2,15,True,1,1,0.5012106537530261
241,20,60,l2,20,False,1,1,0.5012106537530261
351,10,480,l2,160,True,25,4,0.498789346246973
268,5,60,l1,20,True,15,2,0.498789346246973
57,20,60,l2,20,True,1,1,0.498789346246973
55,20,60,l2,20,False,25,1,0.498789346246973
131,5,240,l2,80,False,5,4,0.49636803874092006
78,5,60,l1,20,True,25,2,0.49636803874092006
269,5,60,l2,20,True,15,2,0.49636803874092006
285,10,120,l2,40,True,15,2,0.49636803874092006
142,5,240,l1,80,True,25,4,0.49636803874092006
27,10,30,l2,10,True,5,1,0.49636803874092006
93,10,120,l2,40,True,15,2,0.49636803874092006
301,15,180,l2,60,True,15,2,0.49636803874092006
74,5,60,l1,20,True,5,2,0.49636803874092006
234,15,45,l1,15,True,5,1,0.49394673123486604
75,5,60,l2,20,True,5,2,0.49394673123486604
28,10,30,l1,10,True,15,1,0.49394673123486604
89,10,120,l2,40,True,1,2,0.49394673123486604
283,10,120,l2,40,True,5,2,0.491525423728813
26,10,30,l1,10,True,5,1,0.491525423728813
320,5,240,l1,80,False,1,4,0.491525423728813
284,10,120,l1,40,True,15,2,0.491525423728813
329,5,240,l2,80,True,1,4,0.491525423728813
130,5,240,l1,80,False,5,4,0.48910411622276
49,20,60,l2,20,False,1,1,0.48910411622276
276,10,120,l1,40,False,15,2,0.48910411622276
25,10,30,l2,10,True,1,1,0.48910411622276
323,5,240,l2,80,False,5,4,0.48668280871670705
76,5,60,l1,20,True,15,2,0.48668280871670705
281,10,120,l2,40,True,1,2,0.48668280871670705
235,15,45,l2,15,True,5,1,0.48668280871670705
63,20,60,l2,20,True,25,1,0.48426150121065303
271,5,60,l2,20,True,25,2,0.48426150121065303
236,15,45,l1,15,True,15,1,0.48426150121065303
322,5,240,l1,80,False,5,4,0.4818401937046
246,20,60,l1,20,False,25,1,0.4818401937046
245,20,60,l2,20,False,15,1,0.4818401937046
297,15,180,l2,60,True,1,2,0.4818401937046
24,10,30,l1,10,True,1,1,0.4818401937046
272,10,120,l1,40,False,1,2,0.47941888619854706
135,5,240,l2,80,False,25,4,0.47941888619854706
30,10,30,l1,10,True,25,1,0.47941888619854706
