,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
134,5,240,l1,80,False,25,4,0.37762237762237705
111,15,180,l2,60,True,25,2,0.37762237762237705
28,10,30,l1,10,True,15,1,0.375291375291375
86,10,120,l1,40,False,25,2,0.375291375291375
151,10,480,l2,160,False,25,4,0.375291375291375
337,10,480,l2,160,False,1,4,0.375291375291375
282,10,120,l1,40,True,5,2,0.37296037296037304
20,10,30,l1,10,False,15,1,0.37296037296037304
84,10,120,l1,40,False,15,2,0.37296037296037304
351,10,480,l2,160,True,25,4,0.37296037296037304
239,15,45,l2,15,True,25,1,0.37296037296037304
133,5,240,l2,80,False,15,4,0.37296037296037304
238,15,45,l1,15,True,25,1,0.37062937062937
75,5,60,l2,20,True,5,2,0.37062937062937
218,10,30,l1,10,True,5,1,0.37062937062937
299,15,180,l2,60,True,5,2,0.37062937062937
135,5,240,l2,80,False,25,4,0.37062937062937
26,10,30,l1,10,True,5,1,0.36829836829836804
77,5,60,l2,20,True,15,2,0.36829836829836804
21,10,30,l2,10,False,15,1,0.36829836829836804
285,10,120,l2,40,True,15,2,0.36829836829836804
22,10,30,l1,10,False,25,1,0.36829836829836804
46,15,45,l1,15,True,25,1,0.36829836829836804
254,20,60,l1,20,True,25,1,0.36829836829836804
44,15,45,l1,15,True,15,1,0.365967365967365
45,15,45,l2,15,True,15,1,0.365967365967365
74,5,60,l1,20,True,5,2,0.365967365967365
231,15,45,l2,15,False,25,1,0.365967365967365
219,10,30,l2,10,True,5,1,0.365967365967365
286,10,120,l1,40,True,25,2,0.36363636363636304
237,15,45,l2,15,True,15,1,0.36363636363636304
301,15,180,l2,60,True,15,2,0.36363636363636304
253,20,60,l2,20,True,15,1,0.361305361305361
287,10,120,l2,40,True,25,2,0.361305361305361
24,10,30,l1,10,True,1,1,0.361305361305361
29,10,30,l2,10,True,15,1,0.361305361305361
95,10,120,l2,40,True,25,2,0.35897435897435903
85,10,120,l2,40,False,15,2,0.35897435897435903
297,15,180,l2,60,True,1,2,0.35897435897435903
215,10,30,l2,10,False,25,1,0.35897435897435903
270,5,60,l1,20,True,25,2,0.356643356643356
76,5,60,l1,20,True,15,2,0.356643356643356
275,10,120,l2,40,False,5,2,0.356643356643356
317,20,240,l2,80,True,15,2,0.356643356643356
221,10,30,l2,10,True,15,1,0.356643356643356
248,20,60,l1,20,True,1,1,0.356643356643356
30,10,30,l1,10,True,25,1,0.356643356643356
214,10,30,l1,10,False,25,1,0.356643356643356
335,5,240,l2,80,True,25,4,0.356643356643356
298,15,180,l1,60,True,5,2,0.354312354312354
27,10,30,l2,10,True,5,1,0.354312354312354
210,10,30,l1,10,False,5,1,0.354312354312354
284,10,120,l1,40,True,15,2,0.354312354312354
79,5,60,l2,20,True,25,2,0.354312354312354
251,20,60,l2,20,True,5,1,0.354312354312354
269,5,60,l2,20,True,15,2,0.35198135198135205
268,5,60,l1,20,True,15,2,0.35198135198135205
212,10,30,l1,10,False,15,1,0.35198135198135205
280,10,120,l1,40,True,1,2,0.35198135198135205
313,20,240,l2,80,True,1,2,0.35198135198135205
213,10,30,l2,10,False,15,1,0.349650349650349
31,10,30,l2,10,True,25,1,0.349650349650349
19,10,30,l2,10,False,5,1,0.349650349650349
277,10,120,l2,40,False,15,2,0.349650349650349
319,20,240,l2,80,True,25,2,0.349650349650349
216,10,30,l1,10,True,1,1,0.349650349650349
271,5,60,l2,20,True,25,2,0.349650349650349
72,5,60,l1,20,True,1,2,0.34731934731934705
16,10,30,l1,10,False,1,1,0.34731934731934705
