,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
67,5,60,l2,20,False,5,2,0.601918465227817
66,5,60,l1,20,False,5,2,0.5995203836930451
40,15,45,l1,15,True,1,1,0.5995203836930451
71,5,60,l2,20,False,25,2,0.597122302158273
151,10,480,l2,160,False,25,4,0.597122302158273
131,5,240,l2,80,False,5,4,0.594724220623501
118,20,240,l1,80,False,25,2,0.592326139088729
133,5,240,l2,80,False,15,4,0.592326139088729
111,15,180,l2,60,True,25,2,0.592326139088729
87,10,120,l2,40,False,25,2,0.592326139088729
143,5,240,l2,80,True,25,4,0.589928057553956
36,15,45,l1,15,False,15,1,0.589928057553956
33,15,45,l2,15,False,1,1,0.589928057553956
69,5,60,l2,20,False,15,2,0.585131894484412
68,5,60,l1,20,False,15,2,0.585131894484412
58,20,60,l1,20,True,5,1,0.585131894484412
48,20,60,l1,20,False,1,1,0.58273381294964
167,15,720,l2,240,False,25,4,0.58273381294964
103,15,180,l2,60,False,25,2,0.580335731414868
41,15,45,l2,15,True,1,1,0.580335731414868
79,5,60,l2,20,True,25,2,0.577937649880095
78,5,60,l1,20,True,25,2,0.577937649880095
127,20,240,l2,80,True,25,2,0.575539568345323
24,10,30,l1,10,True,1,1,0.575539568345323
16,10,30,l1,10,False,1,1,0.575539568345323
70,5,60,l1,20,False,25,2,0.573141486810551
134,5,240,l1,80,False,25,4,0.573141486810551
52,20,60,l1,20,False,15,1,0.570743405275779
86,10,120,l1,40,False,25,2,0.568345323741007
18,10,30,l1,10,False,5,1,0.565947242206235
54,20,60,l1,20,False,25,1,0.565947242206235
35,15,45,l2,15,False,5,1,0.563549160671462
34,15,45,l1,15,False,5,1,0.56115107913669
17,10,30,l2,10,False,1,1,0.558752997601918
135,5,240,l2,80,False,25,4,0.556354916067146
42,15,45,l1,15,True,5,1,0.556354916067146
117,20,240,l2,80,False,15,2,0.556354916067146
60,20,60,l1,20,True,15,1,0.551558752997601
50,20,60,l1,20,False,5,1,0.551558752997601
62,20,60,l1,20,True,25,1,0.551558752997601
53,20,60,l2,20,False,15,1,0.551558752997601
19,10,30,l2,10,False,5,1,0.551558752997601
25,10,30,l2,10,True,1,1,0.5491606714628291
59,20,60,l2,20,True,5,1,0.546762589928057
20,10,30,l1,10,False,15,1,0.5443645083932851
26,10,30,l1,10,True,5,1,0.541966426858513
51,20,60,l2,20,False,5,1,0.5395683453237411
49,20,60,l2,20,False,1,1,0.5395683453237411
37,15,45,l2,15,False,15,1,0.537170263788968
38,15,45,l1,15,False,25,1,0.5347721822541961
21,10,30,l2,10,False,15,1,0.5347721822541961
119,20,240,l2,80,False,25,2,0.532374100719424
44,15,45,l1,15,True,15,1,0.532374100719424
27,10,30,l2,10,True,5,1,0.5299760191846521
43,15,45,l2,15,True,5,1,0.5251798561151071
22,10,30,l1,10,False,25,1,0.5251798561151071
45,15,45,l2,15,True,15,1,0.522781774580335
61,20,60,l2,20,True,15,1,0.522781774580335
29,10,30,l2,10,True,15,1,0.517985611510791
39,15,45,l2,15,False,25,1,0.5155875299760191
55,20,60,l2,20,False,25,1,0.513189448441247
28,10,30,l1,10,True,15,1,0.508393285371702
23,10,30,l2,10,False,25,1,0.5059952038369301
63,20,60,l2,20,True,25,1,0.496402877697841
30,10,30,l1,10,True,25,1,0.496402877697841
46,15,45,l1,15,True,25,1,0.496402877697841
31,10,30,l2,10,True,25,1,0.491606714628297
47,15,45,l2,15,True,25,1,0.482014388489208
13,5,15,l2,5,True,15,1,0.462829736211031
10,5,15,l1,5,True,5,1,0.455635491606714
12,5,15,l1,5,True,15,1,0.453237410071942
11,5,15,l2,5,True,5,1,0.448441247002398
8,5,15,l1,5,True,1,1,0.448441247002398
9,5,15,l2,5,True,1,1,0.446043165467625
15,5,15,l2,5,True,25,1,0.42925659472422
14,5,15,l1,5,True,25,1,0.42925659472422
3,5,15,l2,5,False,5,1,0.424460431654676
2,5,15,l1,5,False,5,1,0.422062350119904
4,5,15,l1,5,False,15,1,0.41007194244604306
1,5,15,l2,5,False,1,1,0.40767386091127106
0,5,15,l1,5,False,1,1,0.39328537170263705
5,5,15,l2,5,False,15,1,0.38848920863309305
6,5,15,l1,5,False,25,1,0.38848920863309305
7,5,15,l2,5,False,25,1,0.38129496402877705
