,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
100,15,180,l1,60,False,15,2,0.371921182266009
46,15,45,l1,15,True,25,1,0.369458128078817
92,10,120,l1,40,True,15,2,0.369458128078817
52,20,60,l1,20,False,15,1,0.369458128078817
101,15,180,l2,60,False,15,2,0.366995073891625
142,5,240,l1,80,True,25,4,0.36453201970443305
141,5,240,l2,80,True,15,4,0.36453201970443305
74,5,60,l1,20,True,5,2,0.36453201970443305
111,15,180,l2,60,True,25,2,0.36453201970443305
109,15,180,l2,60,True,15,2,0.36453201970443305
93,10,120,l2,40,True,15,2,0.36453201970443305
119,20,240,l2,80,False,25,2,0.36453201970443305
87,10,120,l2,40,False,25,2,0.36206896551724105
117,20,240,l2,80,False,15,2,0.35960591133004904
79,5,60,l2,20,True,25,2,0.35960591133004904
83,10,120,l2,40,False,5,2,0.35960591133004904
38,15,45,l1,15,False,25,1,0.35714285714285704
65,5,60,l2,20,False,1,2,0.35714285714285704
41,15,45,l2,15,True,1,1,0.35714285714285704
69,5,60,l2,20,False,15,2,0.35467980295566504
36,15,45,l1,15,False,15,1,0.35467980295566504
37,15,45,l2,15,False,15,1,0.35467980295566504
94,10,120,l1,40,True,25,2,0.35221674876847203
51,20,60,l2,20,False,5,1,0.35221674876847203
53,20,60,l2,20,False,15,1,0.34975369458128003
18,10,30,l1,10,False,5,1,0.34975369458128003
99,15,180,l2,60,False,5,2,0.34975369458128003
54,20,60,l1,20,False,25,1,0.347290640394088
32,15,45,l1,15,False,1,1,0.347290640394088
39,15,45,l2,15,False,25,1,0.347290640394088
13,5,15,l2,5,True,15,1,0.344827586206896
45,15,45,l2,15,True,15,1,0.344827586206896
49,20,60,l2,20,False,1,1,0.344827586206896
57,20,60,l2,20,True,1,1,0.344827586206896
59,20,60,l2,20,True,5,1,0.344827586206896
34,15,45,l1,15,False,5,1,0.342364532019704
77,5,60,l2,20,True,15,2,0.342364532019704
20,10,30,l1,10,False,15,1,0.342364532019704
76,5,60,l1,20,True,15,2,0.342364532019704
58,20,60,l1,20,True,5,1,0.339901477832512
68,5,60,l1,20,False,15,2,0.339901477832512
71,5,60,l2,20,False,25,2,0.33743842364532
66,5,60,l1,20,False,5,2,0.33743842364532
75,5,60,l2,20,True,5,2,0.33743842364532
35,15,45,l2,15,False,5,1,0.334975369458128
95,10,120,l2,40,True,25,2,0.334975369458128
78,5,60,l1,20,True,25,2,0.334975369458128
62,20,60,l1,20,True,25,1,0.332512315270935
12,5,15,l1,5,True,15,1,0.332512315270935
47,15,45,l2,15,True,25,1,0.332512315270935
14,5,15,l1,5,True,25,1,0.32758620689655105
15,5,15,l2,5,True,25,1,0.32512315270935904
70,5,60,l1,20,False,25,2,0.32512315270935904
11,5,15,l2,5,True,5,1,0.32266009852216704
67,5,60,l2,20,False,5,2,0.32266009852216704
16,10,30,l1,10,False,1,1,0.32266009852216704
8,5,15,l1,5,True,1,1,0.32019704433497503
19,10,30,l2,10,False,5,1,0.32019704433497503
28,10,30,l1,10,True,15,1,0.32019704433497503
60,20,60,l1,20,True,15,1,0.32019704433497503
22,10,30,l1,10,False,25,1,0.31773399014778303
23,10,30,l2,10,False,25,1,0.31773399014778303
17,10,30,l2,10,False,1,1,0.31773399014778303
33,15,45,l2,15,False,1,1,0.315270935960591
24,10,30,l1,10,True,1,1,0.315270935960591
21,10,30,l2,10,False,15,1,0.315270935960591
10,5,15,l1,5,True,5,1,0.315270935960591
63,20,60,l2,20,True,25,1,0.312807881773399
29,10,30,l2,10,True,15,1,0.312807881773399
9,5,15,l2,5,True,1,1,0.310344827586206
31,10,30,l2,10,True,25,1,0.310344827586206
26,10,30,l1,10,True,5,1,0.307881773399014
30,10,30,l1,10,True,25,1,0.305418719211822
55,20,60,l2,20,False,25,1,0.305418719211822
61,20,60,l2,20,True,15,1,0.30295566502463
25,10,30,l2,10,True,1,1,0.30295566502463
27,10,30,l2,10,True,5,1,0.30295566502463
2,5,15,l1,5,False,5,1,0.29064039408866904
1,5,15,l2,5,False,1,1,0.28571428571428503
4,5,15,l1,5,False,15,1,0.28571428571428503
3,5,15,l2,5,False,5,1,0.28325123152709303
0,5,15,l1,5,False,1,1,0.280788177339901
6,5,15,l1,5,False,25,1,0.275862068965517
7,5,15,l2,5,False,25,1,0.273399014778325
5,5,15,l2,5,False,15,1,0.26847290640394
